date,open,high,low,close,volume,dividend_amount
2006-06-06,914.9997,925.0997,899.9997,906.6498,12696742.0,0.0
2006-06-07,906.9997,919.9998,878.0997,891.6498,16198744.0,0.0
2006-06-08,888.9998,892.3498,809.9998,825.2497,18082299.0,0.0
2006-06-09,824.8998,929.9997,818.5998,922.0998,26874076.0,0.0
2006-06-12,919.9998,934.4498,892.7498,902.7997,12027453.0,0.0
2006-06-13,884.9997,888.9998,850.9998,858.7497,12708347.0,0.0
2006-06-14,857.9998,892.9997,842.6497,859.3497,13154727.0,0.0
2006-06-15,874.9996,899.9997,872.0997,895.1996,10260582.0,0.0
2006-06-16,899.9997,943.9996,899.9997,920.7997,11395609.0,0.0
2006-06-19,924.0997,939.7498,918.8498,933.1498,7847653.0,0.0
2006-06-20,934.9998,936.9996,915.9997,923.9496,6962978.0,0.0
2006-06-21,924.9997,968.7998,916.9997,964.0997,10697032.0,0.0
2006-06-22,972.9998,993.9496,966.9996,973.8997,8498840.0,0.0
2006-06-23,974.9996,1017.9997,951.9996,1011.9497,11585600.0,0.0
2006-06-26,1007.9997,1023.7497,976.9997,981.1997,13180675.0,0.0
2006-06-27,980.9998,1010.9497,979.7498,985.5497,23135475.0,0.0
2006-06-28,974.9996,1006.3996,970.4996,1000.7996,17834144.0,0.0
2006-06-29,1012.9996,1029.9997,1003.2998,1009.1998,10264862.0,0.0
2006-06-30,1024.9997,1061.9997,1024.9997,1058.7496,8705932.0,0.0
2006-07-03,1057.9998,1079.9997,1053.9997,1070.9997,8408775.0,0.0
2006-07-04,1071.9997,1082.7997,1067.2498,1072.9497,4733119.0,0.0
2006-07-05,1069.9997,1099.8997,1062.5997,1095.1996,6807125.0,0.0
